id|name|type|edition|version|errata_date|errata_link|
000000285|Boarding Actions|Expansion|10|1.1|09.07.2025 0:00:00|https://assets.warhammer-community.com/eng_09-07_warhammer40000_other_rules_boarding_actions_companion-hyatd8cog7-wpqvdzf1mt.pdf|
000000166|Balance Dataslate|Rulebook|10|3.4|04.03.2026 0:00:00|https://assets.warhammer-community.com/eng_04-03_wh40k_core&key_balance_dataslate-ysn1jjtd9x-qogz1pqkky.pdf|
000000233|Munitorum Field Manual|Expansion|10|4.3|06.05.2026 0:00:00|https://assets.warhammer-community.com/eng_06-05_wh40k_core&key_munitorum_field_manual-fgt8lqklvr-5bzc9woucs.pdf|
000000259|Imperial Agents|Faction Pack|10|1.3|22.04.2026 0:00:00|https://assets.warhammer-community.com/eng_22-04_wh40k_faction-pack_imperial_agents-c7eul3sg1w-bebpeeqrtv.pdf|
000000016|Astra Militarum|Faction Pack|10|1.6|06.05.2026 0:00:00|https://assets.warhammer-community.com/eng_06-05_wh40k_faction_pack_astra_militarum-kxlmmwpxfk-kauuyhnusx.pdf|
000000053|Genestealer Cults|Faction Pack|10|1.0|22.10.2025 0:00:00|https://assets.warhammer-community.com/eng_22-10_warhammer40000_faction_pack_genestealer_cults-qytbcd1u66-tch87rzd76.pdf|
000000029|Necrons|Faction Pack|10|1.3|04.03.2026 0:00:00|https://assets.warhammer-community.com/eng_04-03_warhammer40000_faction_pack_necrons-oit9xyrlza-eqprrhthph.pdf|
000000186|Aeldari|Faction Pack|10|1.2|11.02.2026 0:00:00|https://assets.warhammer-community.com/eng_11-02_warhammer_40000_faction_pack_aeldari-tmtx4nmkgp-ksodwfy7uo.pdf|
000000270|Adeptus Titanicus (Forge World)|Faction Pack|10|1.0|08.10.2025 0:00:00|https://assets.warhammer-community.com/eng_08-10_warhammer40000_faction_pack_adeptus_titanicus-ovucwiw1o6-jmk9dpdulj.pdf|
000000046|Orks|Faction Pack|10|1.3|22.04.2026 0:00:00|https://assets.warhammer-community.com/eng_22-04_wh40k_faction-pack_orks-hkgrrrimae-j5rdbqknu5.pdf|
000000271|Legends: Unaligned Forces|Datasheet|10||17.09.2024 0:00:00|https://assets.warhammer-community.com/warhammer40000_legends_unaligned_eng_24.09-5ssd1gtiok.pdf|
